# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 158 0 1551 2068 11046904 3 ./applications-education-mathematics.png
DUPTYPE_WITHIN_SAME_TREE -158 0 1551 2068 11046858 3 ./applications-education-school.png
DUPTYPE_FIRST_OCCURRENCE 1056 0 2121 2068 11050933 3 ./network-wireless-0.png
DUPTYPE_WITHIN_SAME_TREE -1056 0 2121 2068 11052964 3 ./network-wireless-connected-00.png
DUPTYPE_FIRST_OCCURRENCE 154 0 2268 2068 11048942 3 ./applications-development-translation.png
DUPTYPE_WITHIN_SAME_TREE -154 0 2268 2068 11050942 3 ./applications-education-language.png
DUPTYPE_FIRST_OCCURRENCE 1058 0 4321 2068 11046879 3 ./network-wireless-25.png
DUPTYPE_WITHIN_SAME_TREE -1058 0 4321 2068 11047929 3 ./network-wireless-connected-25.png
DUPTYPE_FIRST_OCCURRENCE 1059 0 6052 2068 11052025 3 ./network-wireless-50.png
DUPTYPE_WITHIN_SAME_TREE -1059 0 6052 2068 11050966 3 ./network-wireless-connected-50.png
DUPTYPE_FIRST_OCCURRENCE 1050 0 6160 2068 11048819 3 ./network-disconnect.png
DUPTYPE_WITHIN_SAME_TREE -1050 0 6160 2068 11047971 3 ./stock-disconnect.png
DUPTYPE_WITHIN_SAME_TREE -1050 0 6160 2068 11048976 3 ./stock_disconnect.png
DUPTYPE_FIRST_OCCURRENCE 146 0 6597 2068 11049971 3 ./application-x-zerosize.png
DUPTYPE_WITHIN_SAME_TREE -146 0 6597 2068 11051940 3 ./text-x-preview.png
DUPTYPE_WITHIN_SAME_TREE -146 0 6597 2068 11046989 3 ./empty.png
DUPTYPE_WITHIN_SAME_TREE -146 0 6597 2068 11049006 3 ./gnome-fs-regular.png
DUPTYPE_WITHIN_SAME_TREE -146 0 6597 2068 11050913 3 ./gtk-file.png
DUPTYPE_FIRST_OCCURRENCE 27 0 7150 2068 11050935 3 ./add.png
DUPTYPE_WITHIN_SAME_TREE -27 0 7150 2068 11049941 3 ./kt-add-feeds.png
DUPTYPE_WITHIN_SAME_TREE -27 0 7150 2068 11052987 3 ./gtk-add.png
DUPTYPE_WITHIN_SAME_TREE -27 0 7150 2068 11051952 3 ./edit-add.png
DUPTYPE_WITHIN_SAME_TREE -27 0 7150 2068 11047972 3 ./kt-add-filters.png
DUPTYPE_WITHIN_SAME_TREE -27 0 7150 2068 11048877 3 ./list-add.png
DUPTYPE_FIRST_OCCURRENCE 143 0 7217 2068 11050890 3 ./application-x-tar.png
DUPTYPE_WITHIN_SAME_TREE -143 0 7217 2068 11053769 3 ./tar.png
DUPTYPE_WITHIN_SAME_TREE -143 0 7217 2068 11050917 3 ./gnome-mime-application-x-tar.png
DUPTYPE_WITHIN_SAME_TREE -143 0 7217 2068 11049864 3 ./folder_tar.png
DUPTYPE_FIRST_OCCURRENCE 1060 0 7710 2068 11053762 3 ./network-wireless-75.png
DUPTYPE_WITHIN_SAME_TREE -1060 0 7710 2068 11046815 3 ./network-wireless-connected-75.png
DUPTYPE_FIRST_OCCURRENCE 636 0 8471 2068 11048840 3 ./gnome-mime-text-x-changelog.png
DUPTYPE_WITHIN_SAME_TREE -636 0 8471 2068 11053892 3 ./text-x-changelog.png
DUPTYPE_FIRST_OCCURRENCE 705 0 8874 2068 11050898 3 ./gnome-window-manager.png
DUPTYPE_WITHIN_SAME_TREE -705 0 8874 2068 11053821 3 ./preferences-system-windows.png
DUPTYPE_WITHIN_SAME_TREE -705 0 8874 2068 11051938 3 ./kcmkwm.png
DUPTYPE_WITHIN_SAME_TREE -705 0 8874 2068 11049953 3 ./xfwm4.png
DUPTYPE_WITHIN_SAME_TREE -705 0 8874 2068 11046920 3 ./kwin.png
DUPTYPE_FIRST_OCCURRENCE 473 0 8876 2068 11052005 3 ./git-cola.png
DUPTYPE_WITHIN_SAME_TREE -473 0 8876 2068 11048881 3 ./qgit.png
DUPTYPE_WITHIN_SAME_TREE -473 0 8876 2068 11051889 3 ./git.png
DUPTYPE_FIRST_OCCURRENCE 1057 0 9257 2068 11047943 3 ./network-wireless-100.png
DUPTYPE_WITHIN_SAME_TREE -1057 0 9257 2068 11046914 3 ./network-wireless.png
DUPTYPE_WITHIN_SAME_TREE -1057 0 9257 2068 11047858 3 ./network-wireless-connected-100.png
